@TEMPLATE,@TYPE,@ALLOWAUTOMATICDELETION,@NAME,@DESCRIPTION,@VALIDATED,@EXPORTFLAG,@UNIQUEIDENTIFIER,@DATEVALIDATED,@WHENCREATED,@WHENUPDATED,RCABOVEOBJECT@UNIQUEIDENTIFIER,RCABOVEOBJECT@ANYOBJECTDESTINATION,RCBELOWOBJECT@UNIQUEIDENTIFIER,RCBELOWOBJECT@ANYOBJECTDESTINATION,RCWHOCREATEDTOUSER@UNIQUEIDENTIFIER,RCWHOOWNSTOUSER@UNIQUEIDENTIFIER,RCWHOUPDATEDTOUSER@UNIQUEIDENTIFIER
0,,0,,,0,0,26f874c25dcf11ec8107000d3a02ed0d,1899-12-30T00:00:00,2021-12-15T17:48:09,2021-12-15T17:48:09,bd2c888c815f11db9401000e3573f0d3,TAMDOMAIN,26f874c35dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,DFREED,DFREED,DFREED
0,,0,,,0,0,26f874c55dcf11ec8107000d3a02ed0d,1899-12-30T00:00:00,2021-12-15T17:48:09,2021-12-15T17:48:09,bd2c888c815f11db9401000e3573f0d3,TAMDOMAIN,26f874c65dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,DFREED,DFREED,DFREED
0,,0,,,0,0,26f874c85dcf11ec8107000d3a02ed0d,1899-12-30T00:00:00,2021-12-15T17:48:09,2021-12-15T17:48:09,bd2c888c815f11db9401000e3573f0d3,TAMDOMAIN,26f874c95dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,DFREED,DFREED,DFREED
0,,0,,,0,0,26f874cb5dcf11ec8107000d3a02ed0d,1899-12-30T00:00:00,2021-12-15T17:48:09,2021-12-15T17:48:09,bd2c888c815f11db9401000e3573f0d3,TAMDOMAIN,26f874cc5dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,DFREED,DFREED,DFREED
0,,0,,,0,0,26f874ce5dcf11ec8107000d3a02ed0d,1899-12-30T00:00:00,2021-12-15T17:48:09,2021-12-15T17:48:09,bd2c888c815f11db9401000e3573f0d3,TAMDOMAIN,26f874cf5dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,DFREED,DFREED,DFREED
0,,0,,,0,0,26f874d15dcf11ec8107000d3a02ed0d,1899-12-30T00:00:00,2021-12-15T17:48:10,2021-12-15T17:48:10,bd2c888c815f11db9401000e3573f0d3,TAMDOMAIN,26f874d25dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,DFREED,DFREED,DFREED
0,,0,,,0,0,26f874d45dcf11ec8107000d3a02ed0d,1899-12-30T00:00:00,2021-12-15T17:48:10,2021-12-15T17:48:10,bd2c888c815f11db9401000e3573f0d3,TAMDOMAIN,26f874d55dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,DFREED,DFREED,DFREED
0,,0,,,0,0,26f874d75dcf11ec8107000d3a02ed0d,1899-12-30T00:00:00,2021-12-15T17:48:10,2021-12-15T17:48:10,bd2c888c815f11db9401000e3573f0d3,TAMDOMAIN,26f874d85dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,DFREED,DFREED,DFREED
0,,0,,,0,0,26f874da5dcf11ec8107000d3a02ed0d,1899-12-30T00:00:00,2021-12-15T17:48:10,2021-12-15T17:48:10,bd2c888c815f11db9401000e3573f0d3,TAMDOMAIN,26f874db5dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,DFREED,DFREED,DFREED
0,,0,,,0,0,26f874dd5dcf11ec8107000d3a02ed0d,1899-12-30T00:00:00,2021-12-15T17:48:10,2021-12-15T17:48:10,bd2c888c815f11db9401000e3573f0d3,TAMDOMAIN,26f874de5dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,DFREED,DFREED,DFREED
0,,0,,,0,0,26f874e05dcf11ec8107000d3a02ed0d,1899-12-30T00:00:00,2021-12-15T17:48:10,2021-12-15T17:48:10,bd2c888c815f11db9401000e3573f0d3,TAMDOMAIN,26f874e15dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,DFREED,DFREED,DFREED
0,,0,,,0,0,26f874e35dcf11ec8107000d3a02ed0d,1899-12-30T00:00:00,2021-12-15T17:48:10,2021-12-15T17:48:10,bd2c888c815f11db9401000e3573f0d3,TAMDOMAIN,26f874e45dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,DFREED,DFREED,DFREED
0,,0,,,0,0,26f874e65dcf11ec8107000d3a02ed0d,1899-12-30T00:00:00,2021-12-15T17:48:10,2021-12-15T17:48:10,bd2c888c815f11db9401000e3573f0d3,TAMDOMAIN,26f874e75dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,DFREED,DFREED,DFREED
0,,0,,,0,0,26f874e95dcf11ec8107000d3a02ed0d,1899-12-30T00:00:00,2021-12-15T17:48:10,2021-12-15T17:48:10,bd2c888c815f11db9401000e3573f0d3,TAMDOMAIN,26f874ea5dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,DFREED,DFREED,DFREED
0,,0,,,0,0,26f874ec5dcf11ec8107000d3a02ed0d,1899-12-30T00:00:00,2021-12-15T17:48:10,2021-12-15T17:48:10,bd2c888c815f11db9401000e3573f0d3,TAMDOMAIN,26f874ed5dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,DFREED,DFREED,DFREED
0,,0,,,0,0,26f874ef5dcf11ec8107000d3a02ed0d,1899-12-30T00:00:00,2021-12-15T17:48:11,2021-12-15T17:48:11,bd2c888c815f11db9401000e3573f0d3,TAMDOMAIN,26f874a55dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,DFREED,DFREED,DFREED
0,,0,,,0,0,26f874f15dcf11ec8107000d3a02ed0d,1899-12-30T00:00:00,2021-12-15T17:48:11,2021-12-15T17:48:11,bd2c888c815f11db9401000e3573f0d3,TAMDOMAIN,26f874f25dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,DFREED,DFREED,DFREED
0,,0,,,0,0,26f874f45dcf11ec8107000d3a02ed0d,1899-12-30T00:00:00,2021-12-15T17:48:11,2021-12-15T17:48:11,bd2c888c815f11db9401000e3573f0d3,TAMDOMAIN,26f874f55dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,DFREED,DFREED,DFREED
0,,0,,,0,0,26f874f75dcf11ec8107000d3a02ed0d,1899-12-30T00:00:00,2021-12-15T17:48:11,2021-12-15T17:48:11,2a1be77e23fd11dc87cb00059a3c7800,TAMDOMAIN,26f874f85dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,DFREED,DFREED,DFREED
