@ALLOWAUTOMATICDELETION,@DESCRIPTION,@UNIQUEIDENTIFIER,@EXPORTFLAG,@WHENCREATED,@WHENUPDATED,@NAME,@DATEVALIDATED,@TEMPLATE,@VALIDATED,@TYPE,RCABOVEOBJECT@UNIQUEIDENTIFIER,RCABOVEOBJECT@ANYOBJECTDESTINATION,RCBELOWOBJECT@UNIQUEIDENTIFIER,RCBELOWOBJECT@ANYOBJECTDESTINATION,RCWHOCREATEDTOUSER@UNIQUEIDENTIFIER,RCWHOOWNSTOUSER@UNIQUEIDENTIFIER,RCWHOUPDATEDTOUSER@UNIQUEIDENTIFIER
0,,f2b7bc096f1311ec8109000d3a02ed0d,0,2022-01-06T17:13:30,2022-01-06T17:13:30,,1899-12-30T00:00:00,0,0,,5f91dfc1f4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,26f8747d5dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,ATALMOR,ATALMOR,ATALMOR
0,,f2b7bc0a6f1311ec8109000d3a02ed0d,0,2022-01-06T17:13:30,2022-01-06T17:13:30,,1899-12-30T00:00:00,0,0,,5f91e142f4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,26f8747d5dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,ATALMOR,ATALMOR,ATALMOR
0,,f2b7bc0b6f1311ec8109000d3a02ed0d,0,2022-01-06T17:13:30,2022-01-06T17:13:30,,1899-12-30T00:00:00,0,0,,6b84a769f4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,26f874775dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,ATALMOR,ATALMOR,ATALMOR
0,,f2b7bc0c6f1311ec8109000d3a02ed0d,0,2022-01-06T17:13:31,2022-01-06T17:13:31,,1899-12-30T00:00:00,0,0,,f434ce97b35a11eb80ff000d3a02ed0d,FRAMEWORXFUNCTION,26f8747a5dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,ATALMOR,ATALMOR,ATALMOR
0,,f2b7bc0d6f1311ec8109000d3a02ed0d,0,2022-01-06T17:13:31,2022-01-06T17:13:31,,1899-12-30T00:00:00,0,0,,59974a83f4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,26f874835dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,ATALMOR,ATALMOR,ATALMOR
0,,f2b7bc0e6f1311ec8109000d3a02ed0d,0,2022-01-06T17:13:31,2022-01-06T17:13:31,,1899-12-30T00:00:00,0,0,,59974a89f4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,26f8748c5dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,ATALMOR,ATALMOR,ATALMOR
0,,f2b7bc0f6f1311ec8109000d3a02ed0d,0,2022-01-06T17:13:31,2022-01-06T17:13:31,,1899-12-30T00:00:00,0,0,,59974a8cf4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,26f874835dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,ATALMOR,ATALMOR,ATALMOR
0,,f2b7bc106f1311ec8109000d3a02ed0d,0,2022-01-06T17:13:31,2022-01-06T17:13:31,,1899-12-30T00:00:00,0,0,,59974a98f4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,26f874805dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,ATALMOR,ATALMOR,ATALMOR
0,,f2b7bc116f1311ec8109000d3a02ed0d,0,2022-01-06T17:13:31,2022-01-06T17:13:31,,1899-12-30T00:00:00,0,0,,59974a9bf4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,26f874805dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,ATALMOR,ATALMOR,ATALMOR
0,,f2b7bc126f1311ec8109000d3a02ed0d,0,2022-01-06T17:13:31,2022-01-06T17:13:31,,1899-12-30T00:00:00,0,0,,59974a9ef4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,26f874805dcf11ec8107000d3a02ed0d,TMFSUBDOMAIN,ATALMOR,ATALMOR,ATALMOR
