@NAME,@TYPE,@ALLOWAUTOMATICDELETION,@DESCRIPTION,@TEMPLATE,@DATEVALIDATED,@EXPORTFLAG,@VALIDATED,@WHENCREATED,@WHENUPDATED,@UNIQUEIDENTIFIER,RCABOVEOBJECT@UNIQUEIDENTIFIER,RCABOVEOBJECT@ANYOBJECTDESTINATION,RCBELOWOBJECT@UNIQUEIDENTIFIER,RCBELOWOBJECT@ANYOBJECTDESTINATION,RCWHOCREATEDTOUSER@WHOCREATED,RCWHOOWNSTOUSER@WHOOWNS,RCWHOUPDATEDTOUSER@WHOUPDATED,RCWHOCREATEDTOUSER@UNIQUEIDENTIFIER,RCWHOOWNSTOUSER@UNIQUEIDENTIFIER,RCWHOUPDATEDTOUSER@UNIQUEIDENTIFIER
,,0,,0,1899-12-30T00:00:00,0,0,2016-06-01T15:11:57,2016-06-01T15:11:57,758387d2283d11e6bf18002590713bc0,59974ae9f4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,3da3178a12b611dc87b800059a3c7800,TAMAPPLICATION,32,32,32,,,
,,0,,0,1899-12-30T00:00:00,0,0,2016-06-01T15:11:58,2016-06-01T15:11:58,758387d4283d11e6bf18002590713bc0,59974aecf4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,3da3178a12b611dc87b800059a3c7800,TAMAPPLICATION,32,32,32,,,
,,0,,0,1899-12-30T00:00:00,0,0,2016-06-01T15:11:58,2016-06-01T15:11:58,758387d6283d11e6bf18002590713bc0,59974aeff4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,3da3178a12b611dc87b800059a3c7800,TAMAPPLICATION,32,32,32,,,
,,0,,0,1899-12-30T00:00:00,0,0,2016-06-01T15:11:59,2016-06-01T15:11:59,758387d8283d11e6bf18002590713bc0,59974af2f4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,3da3178a12b611dc87b800059a3c7800,TAMAPPLICATION,32,32,32,,,
,,0,,0,1899-12-30T00:00:00,0,0,2016-06-01T15:11:59,2016-06-01T15:11:59,758387da283d11e6bf18002590713bc0,59974af5f4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,cb1b5a2013a211ddad71001e378839ac,TAMAPPLICATION,32,32,32,,,
,,0,,0,1899-12-30T00:00:00,0,0,2016-06-01T15:12:00,2016-06-01T15:12:00,758387dc283d11e6bf18002590713bc0,59974af8f4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,cb1b5a2013a211ddad71001e378839ac,TAMAPPLICATION,32,32,32,,,
,,0,,0,1899-12-30T00:00:00,0,0,2016-06-01T15:12:00,2016-06-01T15:12:00,758387de283d11e6bf18002590713bc0,59974afbf4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,cb1b5a2013a211ddad71001e378839ac,TAMAPPLICATION,32,32,32,,,
,,0,,0,1899-12-30T00:00:00,0,0,2016-06-01T15:12:01,2016-06-01T15:12:01,758387e0283d11e6bf18002590713bc0,59974afef4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,cb1b5a2013a211ddad71001e378839ac,TAMAPPLICATION,32,32,32,,,
,,0,,0,1899-12-30T00:00:00,0,0,2016-06-01T15:12:01,2016-06-01T15:12:01,758387e2283d11e6bf18002590713bc0,59974b01f4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,cb1b5a2013a211ddad71001e378839ac,TAMAPPLICATION,32,32,32,,,
,,0,,0,1899-12-30T00:00:00,0,0,2016-06-01T15:12:02,2016-06-01T15:12:02,758387e4283d11e6bf18002590713bc0,59974b04f4da11e4aa85002590713bc0,FRAMEWORXFUNCTION,cb1b5a2013a211ddad71001e378839ac,TAMAPPLICATION,32,32,32,,,
